"","Sample_ID","Sample_date","Sample_site","Phylum","Taxa","Density_cellsPerL","Phyto_biomass_mgL","Length_um","Width1_um","Width2_um","Diameter_col_um","Diameter_cell_um","Type","Edible","Size_class","Comments","Length2","Diameter2","Length_um3","per","BMS_mgL_under200","WW_C_conv","bms_ugC_less200","bms_ugC_less200_tot","bms_per","Date","Size_class2","Taxa2"
"60","20210809-36-873",2021-08-09,"36-873","Bacillariophyta","Rhoicosphenia",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,105.850565767783,0,"August","NA","Other Bacillariophyta"
"61","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Sphaerocystis",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
"62","20210809-36-873",2021-08-09,"36-873","Cyanobacteria","Spirulina",0,0,NA,NA,NA,NA,NA,"Filament","FALSE","","",0,0,0,1,0,"0.22",0,416.21704278,0,"August","NA","Other Cyanobacteria"
"63","20210809-36-873",2021-08-09,"36-873","Bacillariophyta","Stephanodiscus",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,105.850565767783,0,"August","NA","Other Bacillariophyta"
"64","20210809-36-873",2021-08-09,"36-873","Bacillariophyta","Surirella",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,105.850565767783,0,"August","NA","Other Bacillariophyta"
"65","20210809-36-873",2021-08-09,"36-873","Bacillariophyta","Tabellaria",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.11",0,105.850565767783,0,"August","NA","Other Bacillariophyta"
"66","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Tetraedron",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
"67","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Treubaria",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
"68","20210809-36-873",2021-08-09,"36-873","Cyanobacteria","Cyanophyte Filament",75.72674011,0.000331895,25,1.25,NA,NA,NA,"Filament","FALSE","MICRO","",25,0,25,1,0.000331895,"0.22",0.0730169,416.21704278,0.0175429865899544,"August","Micro","Other Cyanobacteria"
"69","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Actinastrum",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"70","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Ankistrodesmus",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"71","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Carteria",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"72","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Chlamydomonas",585.4151358,0.074714896,NA,NA,NA,NA,6,"Solitary","TRUE","NANO","",0,6,6,1,0.074714896,"0.16",11.95438336,31.57821872,37.8564208006727,"September","Nano","Chlamydomonas"
"73","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Chlorophyte Filament",0,0,NA,NA,NA,NA,NA,"Filament","FALSE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"74","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Coelastrum",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"75","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Colonial Chlorophyte",97.56918929,0.006385889,NA,NA,NA,NA,5,"Colonial","TRUE","MICRO","Bench sheet says 8 cells in the sample-- if one colony, then >20um",0,5,5,1,0.006385889,"0.16",1.02174224,31.57821872,3.23559175094598,"September","Micro","Other Chlorophyta"
"76","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Crucigenia",48.78459465,0.003192944,NA,NA,NA,NA,5,"Colonial","TRUE","NANO","",0,5,5,1,0.003192944,"0.16",0.51087104,31.57821872,1.61779562213381,"September","Nano","Other Chlorophyta"
"77","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Eudorina",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"78","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Micractinium",0,0,NA,NA,NA,NA,NA,"Solitary","FALSE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"79","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Oocystis",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"80","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Pediastrum",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
"81","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Scenedesmus",73.17689197,0.001197354,5,2.5,NA,NA,NA,"Colonial","TRUE","NANO","",5,0,5,1,0.001197354,"0.16",0.19157664,31.57821872,0.60667335830018,"September","Nano","Other Chlorophyta"
"82","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Schroederia",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,31.57821872,0,"September","NA","Other Chlorophyta"
