Name,Object,Area,EqDiameter,Perimeter,Length,Width,MaxFeret,MinFeret,Circularity,Elongation,MeanIntensity,SumIntensity,Unit,Channel
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,84,0.137288,0.418092,1.33915,0.534002,0.257093,0.534002,0.3225,0.962021,1.65582,3319.878788,109556,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,85,0.644839,0.906109,2.952575,1.160452,0.555679,1.160452,0.714408,0.929521,1.624353,3569.187097,553224,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,87,0.632358,0.897298,2.851259,1.084316,0.583186,1.084316,0.794227,0.977461,1.365247,3521.039474,535198,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,88,0.174731,0.471671,1.476288,0.555468,0.314565,0.555468,0.429396,1,1.293603,3418.452381,143575,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,89,0.128968,0.405224,1.267509,0.472282,0.273074,0.472282,0.383756,1,1.230684,3416.193548,105902,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,90,0.087365,0.333522,1.008072,0.352867,0.247587,0.352867,0.3225,1,1.09416,3336.142857,70059,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,92,0.262096,0.577677,1.893845,0.776857,0.33738,0.776857,0.4515,0.918293,1.720614,3477.698413,219095,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,93,0.361942,0.678851,2.296565,0.924485,0.391506,0.924485,0.516,0.862365,1.791638,3505.137931,304947,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,94,0.241295,0.554279,1.771545,0.658603,0.366373,0.658603,0.516,0.966168,1.276363,3516.206897,203940,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,96,0.249615,0.563755,1.828349,0.737603,0.338414,0.737603,0.387,0.938344,1.90595,3546.733333,212804,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,97,0.212173,0.519756,1.685066,0.658648,0.322134,0.658648,0.445618,0.939,1.478057,3516.078431,179320,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,98,0.216333,0.524827,1.771545,0.658603,0.328473,0.658603,0.4515,0.86622,1.4587,3317.692308,172520,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,99,0.345301,0.663062,2.189102,0.929522,0.371482,0.929522,0.520657,0.905473,1.785288,3454.795181,286748,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,100,0.199692,0.504238,1.598587,0.641182,0.311444,0.641182,0.429415,0.981969,1.493151,3336.4375,160149,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Chl_1_.nd2,1,3.361482,2.068809,9.278883,3.740855,0.898587,3.626254,1.2255,0.490625,2.959,1964.277228,1587136,um,CHL
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Chl_1_.nd2,3,0.099846,0.35655,1.18103,0.429389,0.23253,0.429389,0.338148,0.899536,1.269828,1860.916667,44662,um,CHL
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Chl_1_.nd2,5,0.382743,0.698086,2.520181,0.749267,0.510823,0.872427,0.657403,0.757275,1.32708,1868.130435,171868,um,CHL
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Chl_1_.nd2,6,0.174731,0.471671,1.547929,0.568251,0.307488,0.568251,0.43442,0.916382,1.308068,1896.880952,79669,um,CHL
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Chl_1_.nd2,7,0.428506,0.738641,2.657318,0.777589,0.551069,0.976259,0.628643,0.76257,1.552963,1905.708738,196288,um,CHL
