,Date,Site,Taxa,Zp_dens,Zp_bms,tot_dens_numL,tot_bms_ugL,Type,per_dens,per_bms
118,9/10/2021,36-873,Leydigia sp.,0,0,83.85478507,331.9485822,MESO,0,0
119,9/10/2021,36-873,Limnocalanus macrurus,0,0,83.85478507,331.9485822,MESO,0,0
120,9/10/2021,36-873,Macrocyclops albidus,0,0,83.85478507,331.9485822,MESO,0,0
121,9/10/2021,36-873,Macrothrix sp.,0,0,83.85478507,331.9485822,MESO,0,0
123,9/10/2021,36-873,Microcyclops rubellus,0,0,83.85478507,331.9485822,MESO,0,0
124,9/10/2021,36-873,Moina sp.,0,0,83.85478507,331.9485822,MESO,0,0
125,9/10/2021,36-873,Onychodiaptomus birgei,0,0,83.85478507,331.9485822,MESO,0,0
126,9/10/2021,36-873,Paracyclops chiltoni,0,0,83.85478507,331.9485822,MESO,0,0
127,9/10/2021,36-873,Paracyclops poppei,0,0,83.85478507,331.9485822,MESO,0,0
128,9/10/2021,36-873,Pleuroxus sp.,0,0,83.85478507,331.9485822,MESO,0,0
129,9/10/2021,36-873,Scapholeberis sp.,0,0,83.85478507,331.9485822,MESO,0,0
130,9/10/2021,36-873,Senecella calanoides,0,0,83.85478507,331.9485822,MESO,0,0
131,9/10/2021,36-873,Sida crystallina,0,0,83.85478507,331.9485822,MESO,0,0
132,9/10/2021,36-873,Simocephalus sp.,0,0,83.85478507,331.9485822,MESO,0,0
134,9/10/2021,36-873,Skistodiaptomus pallidus,0,0,83.85478507,331.9485822,MESO,0,0
135,9/10/2021,36-873,Skistodiaptomus pygmaeus,0,0,83.85478507,331.9485822,MESO,0,0
136,9/10/2021,36-873,Skistodiaptomus reighardi,0,0,83.85478507,331.9485822,MESO,0,0
137,9/10/2021,36-873,Temoridae sp.,0,0,83.85478507,331.9485822,MESO,0,0
138,9/10/2021,36-873,Thermocyclops crassus,0,0,83.85478507,331.9485822,MESO,0,0
139,9/10/2021,36-873,Tropocyclops prasinus mexicanus,0,0,83.85478507,331.9485822,MESO,0,0
140,9/10/2021,36-873,Unidentified Daphniidae spp.,0,0,83.85478507,331.9485822,MESO,0,0
